 set xrange [0:50.006]
 set xlabel "Time (s)"
 p 'Results.dat' u 1:2 w l t "X Position", '' u 1:3 w l t "Velocity"
 1.890 -0.95870 -1.32696
 1.895 -0.96528 -1.30491
 1.900 -0.97175 -1.28268
 1.905 -0.97811 -1.26028
 1.910 -0.98435 -1.23770
 1.915 -0.99048 -1.21495
 1.920 -0.99650 -1.19204
 1.925 -1.00240 -1.16896
 1.930 -1.00819 -1.14572
 1.935 -1.01386 -1.12231
 1.940 -1.01941 -1.09875
 1.945 -1.02485 -1.07504
 1.950 -1.03016 -1.05118
 1.955 -1.03536 -1.02716
 1.960 -1.04043 -1.00300
 1.965 -1.04539 -0.97870
 1.970 -1.05022 -0.95426
 1.975 -1.05493 -0.92968
 1.980 -1.05952 -0.90496
 1.985 -1.06398 -0.88012
 1.990 -1.06832 -0.85515
 1.995 -1.07253 -0.83005
 2.000 -1.07662 -0.80483
 2.005 -1.08058 -0.77948
 2.010 -1.08442 -0.75403
 2.015 -1.08812 -0.72846
 2.020 -1.09170 -0.70277
 2.025 -1.09515 -0.67698
 2.030 -1.09847 -0.65109
 2.035 -1.10166 -0.62510
 2.040 -1.10472 -0.59900
 2.045 -1.10765 -0.57282
 2.050 -1.11045 -0.54654
 2.055 -1.11312 -0.52017
 2.060 -1.11565 -0.49371
 2.065 -1.11805 -0.46718
 2.070 -1.12032 -0.44056
 2.075 -1.12246 -0.41387
 2.080 -1.12446 -0.38710
 2.085 -1.12633 -0.36027
 2.090 -1.12806 -0.33337
 2.095 -1.12966 -0.30640
 2.100 -1.13113 -0.27938
 2.105 -1.13246 -0.25230
 2.110 -1.13365 -0.22516
 2.115 -1.13471 -0.19798
 2.120 -1.13563 -0.17075
 2.125 -1.13642 -0.14347
 2.130 -1.13706 -0.11616
 2.135 -1.13758 -0.08881
 2.140 -1.13795 -0.06142
 2.145 -1.13819 -0.03400
 2.150 -1.13829 -0.00656
 2.155 -1.13826  0.02091
 2.160 -1.13808  0.04840
 2.165 -1.13777  0.07590
 2.170 -1.13733  0.10342
 2.175 -1.13674  0.13095
 2.180 -1.13602  0.15848
 2.185 -1.13515  0.18602
 2.190 -1.13416  0.21356
 2.195 -1.13302  0.24110
